name,websites,emails,phones,gmaps link,complete address
Small Town Tea LLC,https://www.facebook.com/share/1CCLQ2yVjX/?mibextid=wwXIfr,,+1 662-509-1603,https://www.google.com/maps/place/Small+Town+Tea+LLC/data=!4m7!3m6!1s0x8880a30051489335:0xff602e33acef3b7d!8m2!3d34.3506387!4d-89.0290404!16s%2Fg%2F11y_bpcftj!19sChIJNZNIUQCjgIgRfTvvrDMuYP8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"262 Main St, Ecru, MS 38841, United States"
Montgomery's,,,+1 662-489-3663,https://www.google.com/maps/place/Montgomery%27s/data=!4m7!3m6!1s0x8880bbb3a2d2e373:0xbb1c21deff38ce9d!8m2!3d34.2533553!4d-89.0048055!16s%2Fg%2F11f7l2v3s3!19sChIJc-PSorO7gIgRnc44_94hHLs?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"149 W Oxford St, Pontotoc, MS 38863, United States"
Fiesta Grill Mexican Restaurant and Tex Mex,https://fiestagrillmexicanrestaurantandtexmexms.com/,,+1 662-509-9777,https://www.google.com/maps/place/Fiesta+Grill+Mexican+Restaurant+and+Tex+Mex/data=!4m7!3m6!1s0x8880bc86496575eb:0x7479b165454d2ce9!8m2!3d34.2852516!4d-89.0268249!16s%2Fg%2F1tf6mzdz!19sChIJ63VlSYa8gIgR6SxNRWWxeXQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"2563 MS-15, Pontotoc, MS 38863, United States"
The Wooden Spoon,,,,https://www.google.com/maps/place/The+Wooden+Spoon/data=!4m7!3m6!1s0x8880bbe809ade4ab:0xd7111d1c78bc56da!8m2!3d34.2493437!4d-88.9995745!16s%2Fg%2F11m5y68f18!19sChIJq-StCei7gIgR2la8eBwdEdc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"103 N Main St, Pontotoc, MS 38863, United States"
HUNT BROTHERS PIZZA,,,,https://www.google.com/maps/place/HUNT+BROTHERS+PIZZA/data=!4m7!3m6!1s0x8880a3391288874f:0xaeb29c68eeb3551d!8m2!3d34.3419115!4d-89.0404909!16s%2Fg%2F11kppdpzql!19sChIJT4eIEjmjgIgRHVWz7micsq4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"159 MS-346, Ecru, MS 38841, United States"
Burt's Bayou Blends,http://www.burtsbayoublends.com/,,+1 985-960-2897,https://www.google.com/maps/place/Burt%27s+Bayou+Blends/data=!4m7!3m6!1s0x8880a3438f9de8c5:0xc99757f404d7f837!8m2!3d34.3510921!4d-89.0280515!16s%2Fg%2F11vm0j615m!19sChIJxeidj0OjgIgRN_jXBPRXl8k?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"315 Main St, Ecru, MS 38841, United States"
Spuds,https://www.facebook.com/pages/category/Family-Style-Restaurant/Spuds-110628310291282/,,+1 662-489-4444,https://www.google.com/maps/place/Spuds/data=!4m7!3m6!1s0x8880bbf878613061:0x7a16d3c7ed5793b0!8m2!3d34.2493009!4d-89.0175626!16s%2Fg%2F1t_hzrg0!19sChIJYTBhePi7gIgRsJNX7cfTFno?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"104 MS-15 Unit B, Pontotoc, MS 38863, United States"
Shell,https://find.shell.com/us/fuel/12502283-5274-hwy-15-n/en_US,,+1 662-200-2338,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x8880bcca2f7474c7:0x94ceb89080bf6999!8m2!3d34.3224205!4d-89.0387082!16s%2Fg%2F11c37g2rrz!19sChIJx3R0L8q8gIgRmWm_gJC4zpQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"5274 MS-15, Ecru, MS 38841, United States"
Jambalaya & Co.,https://www.jambalayaco.com/,,+1 985-960-2897,https://www.google.com/maps/place/Jambalaya+%26+Co./data=!4m7!3m6!1s0x8880a3841a667489:0x9e3020965ab8dad0!8m2!3d34.3510921!4d-89.0280515!16s%2Fg%2F11lcl1lh91!19sChIJiXRmGoSjgIgR0Nq4WpYgMJ4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"315 Main St, Ecru, MS 38841, United States"
Sonic Drive-In,http://www.sonicdrivein.com/locations/us/ms/ecru/6561-highway-15/store-5150?utm_source=google-my-business&utm_medium=organic&utm_campaign=website-link&y_source=1_MjAzMzg1MzI0MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,+1 662-489-1400,https://www.google.com/maps/place/Sonic+Drive-In/data=!4m7!3m6!1s0x8880a338542344c1:0x41cdf653670b0f86!8m2!3d34.340868!4d-89.0390418!16s%2Fg%2F1td1w67n!19sChIJwUQjVDijgIgRhg8LZ1P2zUE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"6561 MS-15, Ecru, MS 38863, United States"
Krispy Krunchy Chicken,https://www.krispykrunchy.com/,,+1 662-297-8762,https://www.google.com/maps/place/Krispy+Krunchy+Chicken/data=!4m7!3m6!1s0x8880a3ecba754377:0xa8c188fe57b39b42!8m2!3d34.3512332!4d-89.0322256!16s%2Fg%2F11y3xny_2k!19sChIJd0N1uuyjgIgRQpuzV_6Iwag?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"141 Main St, Ecru, MS 38841, United States"
The Blissful Bean,https://shop.joe.coffee/company/the-blissful-bean-llc,,+1 662-419-5776,https://www.google.com/maps/place/The+Blissful+Bean/data=!4m7!3m6!1s0x8880a32f1a8160ad:0xa745309d4fbbf5fc!8m2!3d34.3756818!4d-89.0252729!16s%2Fg%2F11vzygpl6t!19sChIJrWCBGi-jgIgR_PW7T50wRac?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"9011 MS-15, Ecru, MS 38841, United States"
American Asian Cafe,,,+1 662-586-8487,https://www.google.com/maps/place/American+Asian+Cafe/data=!4m7!3m6!1s0x8880a3d8315edb13:0x975bc5996f37eeb9!8m2!3d34.3509782!4d-89.026091!16s%2Fg%2F11h6rr9jzb!19sChIJE9teMdijgIgRue43b5nFW5c?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"405 Main St, Ecru, MS 38841, United States"
Nate’s Steakhouse,http://natessteakhouse.com/,,+1 662-200-2697,https://www.google.com/maps/place/Nate%E2%80%99s+Steakhouse/data=!4m7!3m6!1s0x8880a30e5712ef73:0x567d28bb3c5508fe!8m2!3d34.3506619!4d-89.0264984!16s%2Fg%2F11lg3bt05r!19sChIJc-8SVw6jgIgR_ghVPLsofVY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"388 Main St, Ecru, MS 38841, United States"
The Bleu Plate,https://www.facebook.com/bleuplatemississippi?mibextid=LQQJ4d,,,https://www.google.com/maps/place/The+Bleu+Plate/data=!4m7!3m6!1s0x8880bb00332ebbd7:0xca0cbc2d2976b47f!8m2!3d34.2498386!4d-88.9984373!16s%2Fg%2F11wp_fk1t3!19sChIJ17suMwC7gIgRf7R2KS28DMo?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"104 N Liberty St, Pontotoc, MS 38863, United States"
